"Date","Price","Open","High","Low","Vol.","Change %"
"23-05-2024","62.70","62.55","63.95","61.65","275.58K","-0.56%"
"22-05-2024","63.05","63.45","63.45","62.80","53.45K","-0.08%"
"21-05-2024","63.10","63.25","63.45","62.80","158.52K","1.12%"
"17-05-2024","62.40","64.55","64.55","62.35","1.06M","-0.40%"
"16-05-2024","62.65","62.50","63.10","62.35","133.47K","0.64%"
"15-05-2024","62.25","62.00","62.30","61.50","1.10M","1.30%"
"14-05-2024","61.45","61.75","61.75","61.35","65.40K","0.16%"
"13-05-2024","61.35","62.25","62.50","61.30","107.73K","-1.45%"
"10-05-2024","62.25","61.95","62.40","61.50","165.45K","2.13%"
"09-05-2024","60.95","61.15","61.20","60.65","55.15K","0.08%"
"08-05-2024","60.90","61.20","61.25","60.55","49.97K","-0.16%"
"07-05-2024","61.00","60.90","61.35","60.75","49.69K","0.08%"
"06-05-2024","60.95","60.55","61.35","60.35","110.66K","0.33%"
"03-05-2024","60.75","61.35","61.35","60.55","84.94K","-0.49%"
"02-05-2024","61.05","61.10","61.95","60.90","110.46K","-0.65%"
"30-04-2024","61.45","61.85","61.90","61.10","92.15K","-0.41%"
"29-04-2024","61.70","62.30","63.30","61.20","96.91K","-0.32%"
"26-04-2024","61.90","60.90","61.90","60.90","97.33K","0.98%"
"25-04-2024","61.30","61.15","61.50","60.85","36.00K","0.66%"
"24-04-2024","60.90","61.15","61.65","60.85","217.87K","0.00%"
"23-04-2024","60.90","61.50","61.50","60.10","179.32K","-1.93%"
"22-04-2024","62.10","62.45","62.65","61.65","182.84K","-0.56%"
"19-04-2024","62.45","62.80","62.85","62.35","2.54M","0.24%"
"18-04-2024","62.30","62.40","62.40","62.00","2.82M","0.40%"
"16-04-2024","62.05","62.75","62.80","62.00","562.53K","0.40%"
"15-04-2024","61.80","62.10","63.30","61.55","356.22K","-0.64%"
"12-04-2024","62.20","61.25","62.30","61.25","188.75K","2.05%"
"10-04-2024","60.95","60.95","61.20","60.70","85.97K","0.16%"
"09-04-2024","60.85","60.60","61.05","60.40","2.07M","0.75%"
"08-04-2024","60.40","59.80","61.00","59.80","674.52K","2.03%"
"05-04-2024","59.20","59.30","59.70","58.95","4.12M","-0.08%"
"04-04-2024","59.25","59.85","59.90","59.10","4.08M","0.59%"
"03-04-2024","58.90","60.00","60.00","58.75","4.82M","0.51%"
"02-04-2024","58.60","59.00","59.10","58.35","98.70K","0.26%"
"01-04-2024","58.45","57.10","58.70","57.10","174.35K","2.90%"
"28-03-2024","56.80","56.70","56.95","56.50","98.84K","0.53%"
"27-03-2024","56.50","56.35","56.75","56.10","276.86K","0.09%"
"26-03-2024","56.45","56.15","56.50","56.00","56.93K","0.53%"
"22-03-2024","56.15","55.80","56.65","55.80","71.20K","-1.14%"
"21-03-2024","56.80","57.65","57.65","56.45","433.50K","1.52%"
"20-03-2024","55.95","56.00","56.00","55.80","65.17K","0.09%"
"19-03-2024","55.90","55.80","56.00","55.65","76.04K","0.18%"
"18-03-2024","55.80","55.65","55.80","55.15","168.21K","0.00%"
"15-03-2024","55.80","56.00","56.10","55.75","100.83K","-0.27%"
