Date,Price,Open,High,Low,Vol.,Change %
22-08-2023,49.95,49.85,50.05,49.85,35.86K,0.10%
23-08-2023,49.95,50,50.15,49.85,55.28K,0.00%
24-08-2023,50.1,50.1,50.2,49.95,49.04K,0.30%
25-08-2023,50.25,50.2,50.3,50,143.12K,0.30%
28-08-2023,50.1,50.45,50.45,49.95,67.44K,-0.30%
29-08-2023,50.2,50.2,50.35,50.1,100.22K,0.20%
30-08-2023,50.5,50.4,50.65,50.3,237.40K,0.60%
31-08-2023,50.55,50.8,50.8,50.5,113.89K,0.10%
01-09-2023,50.6,50.55,50.7,50.4,46.00K,0.10%
04-09-2023,50.75,50.9,50.9,50.5,47.70K,0.30%
05-09-2023,50.7,50.7,50.75,50.5,59.84K,-0.10%
06-09-2023,50.55,50.6,50.65,50.5,19.74K,-0.30%
07-09-2023,50.3,50.55,50.6,50.3,72.41K,-0.49%
08-09-2023,50.55,50.35,50.65,50.25,29.88K,0.50%
11-09-2023,50.3,50.6,50.6,50.2,145.09K,-0.49%
12-09-2023,50.15,50.3,50.45,50.1,75.92K,-0.30%
13-09-2023,50.05,50.2,50.2,49.9,155.03K,-0.20%
14-09-2023,49.95,50.15,50.15,49.8,98.68K,-0.20%
15-09-2023,50.25,50.05,50.3,50.05,21.80K,0.60%
18-09-2023,50.5,50.7,50.7,50.25,49.82K,0.50%
20-09-2023,50.5,50.5,50.8,50.45,41.26K,0.00%
21-09-2023,50.3,50.45,50.5,50.3,30.78K,-0.40%
22-09-2023,50.4,50.3,50.5,50.2,72.04K,0.20%
25-09-2023,50.4,50.4,50.45,50.25,83.27K,0.00%
26-09-2023,50.1,50.4,50.4,50.05,130.72K,-0.60%
27-09-2023,49.95,49.95,50.1,49.8,23.14K,-0.30%
28-09-2023,49.55,49.75,49.75,49.3,102.94K,-0.80%
29-09-2023,49.45,49.4,49.45,49.25,77.54K,-0.20%
03-10-2023,48.65,48.9,49,48.45,213.16K,-1.62%
04-10-2023,48.3,49,49,48.15,186.72K,-0.72%
05-10-2023,48.35,48.3,48.7,48.3,74.28K,0.10%
06-10-2023,48.35,48.5,48.7,48.25,127.25K,0.00%
09-10-2023,48.95,49.4,49.65,48.55,124.35K,1.24%
10-10-2023,49.2,49.35,49.6,48.95,106.02K,0.51%
11-10-2023,49.3,49.5,49.5,49.05,84.00K,0.20%
12-10-2023,49.65,49.15,49.7,49.15,134.62K,0.71%
13-10-2023,49.8,49.55,49.8,49.35,81.18K,0.30%
16-10-2023,50.25,50.8,50.8,50.15,107.32K,0.90%
17-10-2023,50.55,50.4,50.65,50.2,104.38K,0.60%
18-10-2023,50.85,50.85,51,50.6,141.85K,0.59%
19-10-2023,51.15,51,51.2,50.7,185.03K,0.59%
20-10-2023,51.55,51.45,51.8,51.4,6.13M,0.78%
23-10-2023,51.7,51.6,51.85,51.3,174.58K,0.29%
25-10-2023,51.6,51.75,51.75,51.3,1.99M,-0.19%
26-10-2023,51.95,51.75,52.05,51.7,990.02K,0.68%
27-10-2023,51.85,52.2,52.2,51.65,150.39K,-0.19%
30-10-2023,52.15,52.4,52.4,52.05,3.19M,0.58%
